model,sentence,true_label,pred_label,error_categories,primary_category
Finistral-7B-LoRA,Italy may be willing to compromise on its holdout against a German plan for further integration of the EU’s banking… https://t.co/6z5rU3nonk,neutral,positive,conditional_hedge;sarcasm_irony,conditional_hedge
Finistral-7B-LoRA,"WATCH: Unilever, Henkel and as well as some buyout funds could be in the market for some of Coty's brands in a deal… https://t.co/VZFaz5oTOn",neutral,positive,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,"Exxon and Papua New Guinea should return to LNG negotiating table, says Total CEO",neutral,positive,conditional_hedge;entity_confusion,conditional_hedge
Finistral-7B-LoRA,OPEC and Russia postponed a meeting that could end a price war and reduce a supply glut that has driven oil futures… https://t.co/FfJ65bScoJ,neutral,negative,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,U.S. should stop preventing Iran from selling oil - Iran foreign minister #economy #MarketScreener… https://t.co/KXV6FrmF1S,neutral,positive,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,"U.S. banks will likely be allowed to keep paying dividends, even as the coronavirus pandemic threatens to create a… https://t.co/AjsqnpfOdJ",positive,neutral,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,If you are throwing deep you definitely want to be targeting Blake Jarwin lol,neutral,positive,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,If you make your dream a priority long enough... it comes true. https://t.co/mk5TSWxly6,neutral,positive,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,"Joseph Stiglitz, a Nobel-Prize winning economist, says cryptocurrencies should be shut down. Here's why.… https://t.co/qpEnoXPS96",neutral,negative,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,"LISTEN NOW: Trade news is in focus today, as progress is made on the USMCA and China tariffs reportedly could be de… https://t.co/FWS9MkuY65",neutral,positive,conditional_hedge;entity_confusion,conditional_hedge
Finistral-7B-LoRA,The man once dubbed 'Britain's Bill Gates' could be one step closer to a US jail,neutral,negative,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,Why Accelerated Approval Could Be Huge for This Ovarian Cancer Study,neutral,positive,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,Why paying down your mortgage faster could be a good investment strategy https://t.co/mUrPzoRwaf,neutral,positive,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,World’s Biggest Reservoir May Stop Power Output Amid Drought,neutral,negative,conditional_hedge;sarcasm_irony,conditional_hedge
Finistral-7B-LoRA,"Robert Tombs: 'There may be some short-term disturbance. But Brexit is economically rational' 
https://t.co/GznnjuD55S",neutral,positive,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,Trump Budget Would Ax Loan Program Sought to Revive Lordstown Plant,neutral,negative,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,"MedMen's CEO Resigned, and These Pot Stock CEOs Could Be Next",neutral,negative,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,5 Stocks With January Bounce-Back Potential,neutral,positive,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,"Should You Avoid Sykes Enterprises, Incorporated (SYKE)?",neutral,negative,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,These Stocks Could Bounce High in January and Beyond,neutral,positive,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,Marvell Technology (MRVL) Gains As Market Dips: What You Should Know - Nasdaq,neutral,positive,conditional_hedge,conditional_hedge
Finistral-7B-LoRA,BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .,neutral,positive,entity_confusion,entity_confusion
Finistral-7B-LoRA,SKYCITY Entertainment : NOTICE OF ON-MARKET SHARE BUY BACK #SKYCITY #Stock #MarketScreener https://t.co/PYHdNhcr3k https://t.co/5J1DH6NFBI,neutral,positive,entity_confusion,entity_confusion
Finistral-7B-LoRA,Chinese Gas Buyer CNOOC Declares Force Majeure on LNG Contracts,neutral,negative,entity_confusion,entity_confusion
Finistral-7B-LoRA,Investors shrugged off a WSJ report that said the US and China are working on a deal to delay the next round of Ame… https://t.co/D4CJFfE98t,neutral,positive,entity_confusion,entity_confusion
Finistral-7B-LoRA,New Cortec PE fund biggest winner from latest Texas CDRS pension commitments,neutral,positive,entity_confusion,entity_confusion
Finistral-7B-LoRA,CME : Volatility in New York gold prices impacting liquidity in London - LBMA #CME #Stock #MarketScreener… https://t.co/8ILGYoJHzS,negative,neutral,entity_confusion,entity_confusion
